INFO |2018-07-12 10:36:07.911 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is null,the terminalVersion is 1.2.6
INFO |2018-07-12 10:36:07.911 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0002000100010309', command='deny', data={}}
INFO |2018-07-12 10:36:07.912 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:07.912 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:07.912 [nioEventLoopGroup-3-2 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:09.092 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:0002000120171120=============================
INFO |2018-07-12 10:36:09.093 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- receive updatedInfo:RgmPacket{lineList=null, terminalAddress='0002000120171120', command='getUpdatedInformation', data={0&getUpdatedInformation={version=1.4.153, terminalTime=18/7/12 10:36:7 4}}}
INFO |2018-07-12 10:36:09.097 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is 1.2.3,the terminalVersion is 1.4.153
INFO |2018-07-12 10:36:09.097 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0002000120171120', command='deny', data={}}
INFO |2018-07-12 10:36:09.097 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ===============================================
INFO |2018-07-12 10:36:09.098 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:09.098 [nioEventLoopGroup-3-3 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- 
INFO |2018-07-12 10:36:11.595 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- ==================recevive GetUpdatedInformation begin:terminalAddress:0005001101134062=============================
INFO |2018-07-12 10:36:11.595 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- receive updatedInfo:RgmPacket{lineList=null, terminalAddress='0005001101134062', command='getUpdatedInformation', data={0&getUpdatedInformation={version=1.4.2, terminalTime=18/7/12 10:36:9 4}}}
INFO |2018-07-12 10:36:11.599 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- the cloudVersion of localCache is null,the terminalVersion is 1.4.2
INFO |2018-07-12 10:36:11.600 [nioEventLoopGroup-3-4 com.ioe.remoteupdate.cmd.Afn02h.GetUpdatedInformation]- response updatedInfo:RgmPacket{lineList=[0], terminalAddress='0005001101134062', command='deny', data={}}
